"channels","channel_ids"
"P1","132"
"P2","163"
"P3","164"
"P4 Blekinge","213"
"P4 Dalarna","223"
"P4 Gotland","205"
"P4 G<U+00E4>vleborg","210"
"P4 G<U+00F6>teborg","212"
"P4 Halland","220"
"P4 J<U+00E4>mtland","200"
"P4 J<U+00F6>nk<U+00F6>ping","203"
"P4 Kalmar","201"
"P4 Kristianstad","211"
"P4 Kronoberg","214"
"P4 Malm<U+00F6>hus","207"
"P4 Norrbotten","209"
"P4 Sjuh<U+00E4>rad","206"
"P4 Skaraborg","208"
"P4 Stockholm","701"
"P4 S<U+00F6>rmland","202"
"P4 Uppland","218"
"P4 V<U+00E4>rmland","204"
"P4 V<U+00E4>st","219"
"P4 V<U+00E4>sterbotten","215"
"P4 V<U+00E4>sternorrland","216"
"P4 V<U+00E4>stmanland","217"
"P4 <U+00D6>rebro","221"
"P4 <U+00D6>sterg<U+00F6>tland","222"
"SR S<U+00E1>pmi","224"
"SR Sisuradio","226"
"Radio Sweden P6","166"
"P3 Din gata","2576"
"P5 STHLM","2842"
"P2","2562"
"P3 Star","1607"
"Radioapans knattekanal","2755"
"P4 Radiosporten","179"
"P2 Klassiskt","1603"
"P2 V<U+00E4>rlden","2619"
"SR Extra01","2383"
"SR Extra02","2384"
"SR Extra03","2385"
"SR Extra04","2386"
"SR Extra05","2387"
"SR Extra06","2388"
"SR Extra07","2389"
"SR Extra08","2390"
"SR Extra09","3268"
"SR Extra10","3269"
"SR Extra11","3703"
"SR Extra12","3704"
"SR Extra13","4842"
"SR Extra14","4866"
"SR Extra15","4868"
"SR Extra16","4869"
"SR Extra17","4870"
"Barnwebben","1000"
